sample	segment_count	included
P-0003034-T01-IM5	102	yes
P-0003119-T01-IM5	46	yes
P-0003132-T01-IM5	46	yes
P-0003157-T01-IM5	26	yes
P-0003229-T01-IM5	41	yes
P-0003275-T01-IM5	37	yes
P-0003322-T01-IM5	40	yes
P-0003347-T01-IM5	71	yes
P-0003368-T01-IM5	32	yes
P-0003495-T01-IM5	44	yes
P-0003562-T02-IM5	80	yes
P-0003584-T01-IM5	47	yes
P-0003735-T01-IM5	31	yes
P-0003738-T02-IM5	27	yes
P-0003782-T01-IM5	48	yes
P-0003869-T01-IM5	67	yes
P-0003913-T01-IM3	81	yes
P-0003964-T01-IM3	38	yes
P-0003970-T02-IM5	36	yes
P-0004020-T01-IM5	35	yes
P-0004054-T01-IM5	62	yes
P-0004232-T01-IM5	41	yes
P-0004279-T01-IM5	99	yes
P-0004436-T01-IM5	73	yes
P-0004442-T01-IM5	42	yes
P-0004463-T01-IM5	42	yes
P-0004472-T01-IM5	45	yes
P-0004495-T01-IM5	41	yes
P-0004517-T01-IM5	57	yes
P-0004588-T01-IM5	58	yes
P-0004701-T01-IM5	61	yes
P-0004752-T01-IM5	42	yes
P-0004759-T01-IM5	83	yes
P-0004827-T01-IM5	38	yes
P-0004890-T01-IM5	70	yes
P-0004961-T02-IM5	52	yes
P-0004996-T02-IM5	34	yes
P-0005048-T01-IM5	30	yes
P-0005115-T01-IM5	34	yes
P-0005289-T01-IM5	40	yes
P-0005295-T01-IM5	76	yes
P-0005320-T01-IM5	36	yes
P-0005510-T01-IM5	36	yes
P-0005629-T02-IM5	35	yes
P-0005721-T01-IM5	55	yes
P-0005752-T01-IM5	37	yes
P-0005792-T01-IM5	59	yes
P-0005848-T01-IM5	33	yes
P-0005898-T01-IM5	25	yes
P-0005975-T01-IM5	51	yes
P-0005981-T01-IM5	62	yes
P-0006047-T02-IM5	29	yes
P-0006071-T01-IM5	98	yes
P-0006084-T01-IM5	65	yes
P-0006114-T02-IM5	39	yes
P-0006294-T01-IM5	74	yes
P-0006312-T02-IM5	34	yes
P-0006330-T01-IM5	40	yes
P-0006343-T01-IM5	28	yes
P-0006364-T01-IM5	31	yes
P-0006415-T01-IM5	35	yes
P-0006540-T01-IM5	25	yes
P-0006642-T01-IM5	68	yes
P-0006724-T01-IM5	63	yes
P-0006768-T02-IM5	78	yes
P-0006895-T01-IM5	27	yes
P-0006954-T01-IM5	43	yes
P-0006993-T01-IM5	46	yes
P-0007084-T02-IM5	49	yes
P-0007088-T02-IM5	60	yes
P-0007101-T02-IM5	85	yes
P-0007121-T01-IM5	39	yes
P-0007123-T01-IM5	38	yes
P-0007278-T01-IM5	36	yes
P-0007418-T01-IM5	56	yes
P-0007420-T01-IM5	37	yes
P-0007493-T02-IM5	107	yes
P-0007582-T01-IM5	64	yes
P-0007583-T01-IM5	38	yes
P-0007597-T01-IM5	50	yes
P-0007619-T01-IM5	39	yes
P-0007633-T01-IM5	28	yes
P-0007757-T02-IM5	38	yes
P-0007861-T01-IM5	26	yes
P-0007879-T01-IM5	40	yes
P-0007977-T01-IM5	35	yes
P-0007978-T01-IM5	42	yes
P-0008176-T01-IM5	34	yes
P-0008239-T01-IM5	38	yes
P-0008295-T01-IM5	86	yes
P-0008322-T01-IM5	38	yes
P-0008370-T01-IM5	36	yes
P-0008406-T01-IM5	57	yes
P-0008442-T02-IM5	42	yes
P-0008715-T01-IM5	54	yes
P-0008786-T01-IM5	53	yes
P-0008848-T01-IM5	59	yes
P-0008851-T01-IM5	28	yes
P-0008935-T01-IM5	29	yes
P-0008944-T01-IM5	38	yes
P-0008976-T01-IM5	80	yes
P-0009080-T01-IM5	42	yes
P-0009202-T01-IM5	54	yes
P-0009256-T01-IM5	36	yes
P-0009274-T01-IM5	53	yes
P-0009293-T01-IM5	37	yes
P-0009319-T01-IM5	36	yes
P-0009379-T01-IM5	23	yes
P-0009419-T01-IM5	31	yes
P-0009426-T01-IM5	60	yes
P-0009469-T01-IM5	64	yes
P-0009473-T01-IM5	40	yes
P-0009501-T01-IM5	51	yes
P-0009505-T01-IM5	66	yes
P-0009521-T01-IM5	54	yes
P-0009586-T01-IM5	44	yes
P-0009655-T01-IM5	60	yes
P-0009680-T01-IM5	46	yes
P-0009763-T01-IM5	34	yes
P-0009764-T01-IM5	65	yes
P-0009833-T01-IM5	45	yes
P-0009959-T01-IM5	59	yes
P-0010024-T01-IM5	33	yes
P-0010025-T01-IM5	35	yes
P-0010065-T01-IM5	59	yes
P-0010213-T01-IM5	58	yes
P-0010256-T01-IM5	33	yes
P-0010636-T01-IM5	91	yes
P-0010648-T01-IM5	69	yes
P-0010715-T01-IM5	66	yes
P-0010736-T01-IM5	66	yes
P-0010760-T01-IM5	38	yes
P-0010840-T02-IM5	56	yes
P-0010891-T01-IM5	31	yes
P-0010986-T01-IM5	41	yes
P-0011033-T01-IM5	36	yes
P-0011036-T01-IM5	83	yes
P-0011149-T01-IM5	55	yes
P-0011180-T01-IM5	44	yes
P-0011192-T01-IM5	39	yes
P-0011244-T01-IM5	31	yes
P-0011254-T01-IM5	48	yes
P-0011499-T01-IM5	43	yes
P-0011541-T01-IM5	64	yes
P-0011559-T01-IM5	33	yes
P-0012076-T01-IM5	41	yes
P-0012192-T02-IM5	92	yes
P-0012373-T01-IM5	58	yes
P-0012427-T01-IM5	40	yes
P-0012629-T01-IM5	23	yes
P-0012729-T01-IM5	41	yes
P-0012817-T01-IM5	46	yes
P-0012846-T01-IM5	43	yes
P-0012849-T01-IM5	69	yes
P-0012866-T01-IM5	54	yes
P-0012908-T01-IM5	37	yes
P-0012931-T01-IM5	49	yes
P-0013653-T01-IM5	35	yes
P-0014172-T01-IM5	60	yes
P-0014269-T01-IM6	48	yes
P-0014451-T01-IM6	50	yes
P-0014529-T01-IM6	72	yes
P-0014599-T01-IM6	61	yes
P-0014786-T01-IM6	62	yes
P-0014818-T01-IM6	43	yes
P-0015078-T01-IM6	101	yes
P-0015296-T01-IM6	67	yes
P-0015531-T01-IM6	76	yes
P-0015556-T01-IM6	31	yes
P-0015758-T01-IM6	31	yes
P-0015771-T01-IM6	28	yes
P-0015780-T01-IM6	30	yes
P-0015785-T01-IM6	45	yes
P-0015984-T01-IM6	63	yes
P-0016033-T01-IM6	31	yes
P-0016046-T01-IM6	38	yes
P-0016646-T01-IM6	38	yes
P-0016809-T01-IM6	28	yes
